fold,row_id,model,AE
1,68,PLS,0.10749065886276579
1,69,PLS,0.13525187582705825
1,72,PLS,0.003040447180833397
1,73,PLS,0.025510143380223872
1,79,PLS,0.12115366436236946
1,81,PLS,0.11302123964810833
1,84,PLS,0.02029209073994341
1,92,PLS,0.052042449319901006
1,96,PLS,0.036066193925234684
1,97,PLS,0.01588180988773118
1,110,PLS,0.1528738273996727
1,111,PLS,0.16204004055864715
1,113,PLS,0.11948246563424611
1,114,PLS,0.005615209348013597
1,118,PLS,0.0326178366533362
1,140,PLS,0.09729328293392153
1,146,PLS,0.01133003706135696
1,148,PLS,0.04934454905860609
1,153,PLS,0.016053681488205917
1,155,PLS,0.029162580172184035
1,163,PLS,0.015358850029557551
1,168,PLS,0.08614549114506934
1,181,PLS,0.12861206868481675
1,183,PLS,0.13108509082720288
1,184,PLS,0.1546105237351084
1,185,PLS,0.16053958425763096
1,198,PLS,0.05630137921376249
1,199,PLS,0.04940649014740593
1,210,PLS,0.027196695982784343
1,218,PLS,0.2515798004967897
1,222,PLS,0.09396416699525734
1,223,PLS,0.06062575632656781
1,224,PLS,0.17120625037407325
1,227,PLS,0.26479812594152363
1,228,PLS,0.06591916025332996
1,237,PLS,0.041425127252481174
1,239,PLS,0.00963618350727728
1,246,PLS,0.04325110479906035
1,248,PLS,0.026755655841483445
1,256,PLS,0.04589663971008001
1,261,PLS,0.01903693818201784
1,262,PLS,0.06445819752862861
1,269,PLS,0.05511856857746736
1,275,PLS,0.05310428972338986
1,279,PLS,0.03406678691790223
1,291,PLS,0.05523291803808714
1,306,PLS,0.05145112741674882
1,310,PLS,0.07437714955858202
1,316,PLS,0.04351348826185056
1,321,PLS,0.0860958309529537
1,6,k-NN,0.012822391205846025
1,10,k-NN,0.03849483307847684
1,15,k-NN,0.013669553331706653
1,17,k-NN,0.032746262254221815
1,18,k-NN,0.09601538355069884
1,19,k-NN,0.027398972224518515
1,22,k-NN,0.047012637702483956
1,23,k-NN,0.0015529172034973015
1,24,k-NN,0.06595504580105654
1,30,k-NN,0.08523805760528931
1,31,k-NN,0.03937965098349217
1,39,k-NN,0.0004936897520670413
1,56,k-NN,0.029535732737887486
1,59,k-NN,0.14833561932563086
1,66,k-NN,0.06396384470487365
1,68,k-NN,0.06124400177866622
