fold,row_id,model,pred,R2,MSE,MAE,AE
0,3,NN,44.437131874051815,0.9291455137537641,11.284373622166308,2.532368582851557,0.476186687370614
0,5,NN,48.84559534921191,0.9291455137537641,11.284373622166308,2.532368582851557,0.791949314451287
0,7,NN,29.63612619129032,0.9291455137537641,11.284373622166308,2.532368582851557,1.3211563208060788
0,9,NN,38.87425017768853,0.9291455137537641,11.284373622166308,2.532368582851557,2.074882503921671
0,16,NN,33.50954941119872,0.9291455137537641,11.284373622166308,2.532368582851557,1.069465697165782
0,25,NN,23.64079038869337,0.9291455137537641,11.284373622166308,2.532368582851557,0.616503256032729
0,33,NN,27.442471710160213,0.9291455137537641,11.284373622166308,2.532368582851557,0.9526929139846878
0,42,NN,16.702795125009015,0.9291455137537641,11.284373622166308,2.532368582851557,2.520642397762714
0,45,NN,28.657703513137623,0.9291455137537641,11.284373622166308,2.532368582851557,1.6994918333121234
0,46,NN,30.649292686054235,0.9291455137537641,11.284373622166308,2.532368582851557,1.963597837583567
0,55,NN,32.645170191122546,0.9291455137537641,11.284373622166308,2.532368582851557,3.5344177569541557
0,57,NN,49.48813693799703,0.9291455137537641,11.284373622166308,2.532368582851557,1.0173021966692701
0,60,NN,23.805122263773278,0.9291455137537641,11.284373622166308,2.532368582851557,0.17097592230987857
0,63,NN,43.33957830123192,0.9291455137537641,11.284373622166308,2.532368582851557,2.2769766752156144
0,75,NN,36.158155114650555,0.9291455137537641,11.284373622166308,2.532368582851557,1.6253236995715525
0,76,NN,39.046343642135994,0.9291455137537641,11.284373622166308,2.532368582851557,6.091935959518892
0,77,NN,43.02550816528609,0.9291455137537641,11.284373622166308,2.532368582851557,1.2858507630928102
0,78,NN,25.22912242428085,0.9291455137537641,11.284373622166308,2.532368582851557,5.017148340465351
0,82,NN,43.305269225663636,0.9291455137537641,11.284373622166308,2.532368582851557,2.0512111647185662
0,90,NN,18.776757538091385,0.9291455137537641,11.284373622166308,2.532368582851557,6.859456645180785
0,93,NN,34.48109673292817,0.9291455137537641,11.284373622166308,2.532368582851557,1.573366164221973
0,94,NN,34.87054459650186,0.9291455137537641,11.284373622166308,2.532368582851557,0.40963158855234383
0,101,NN,30.361361770497563,0.9291455137537641,11.284373622166308,2.532368582851557,1.2112982770439622
