fold,row_id,model,AE
0,3,RF,0.1738880198012167
0,5,RF,0.13750705232604118
0,7,RF,0.02351374818981746
0,9,RF,0.048213182491970985
0,16,RF,0.08001304946127831
0,25,RF,0.048787812900098544
0,33,RF,0.004786526523698101
0,42,RF,0.046942618213922815
0,45,RF,0.03777147768669629
0,46,RF,0.04950048187982631
0,55,RF,0.03268211786055481
0,57,RF,0.005811752478953665
0,60,RF,0.034448032359932906
0,63,RF,0.0977978274537483
0,75,RF,0.006640136168333228
0,76,RF,0.040579460772645536
0,77,RF,0.10980460936209262
0,78,RF,0.1895567003569232
0,82,RF,0.14816499017066093
0,90,RF,0.052047252329787595
0,93,RF,0.0689236758302684
0,94,RF,0.05496436127070794
0,101,RF,0.054490979714051375
0,104,RF,0.03288962798430432
0,108,RF,0.027261180826575995
0,109,RF,0.014540225074842929
0,116,RF,0.03912021486941761
0,119,RF,0.0141316044972249
0,124,RF,0.07976085637221857
0,126,RF,0.037893519022548325
0,132,RF,0.030287569656320592
0,137,RF,0.016963165029224143
0,144,RF,0.06477742108640831
0,157,RF,0.16316310787327942
0,164,RF,0.10864648572556695
0,165,RF,0.03110615770277079
0,172,RF,0.11880820184466323
0,173,RF,0.1485240358960443
0,175,RF,0.06052699267893424
0,177,RF,0.12333120664164611
0,179,RF,0.03509735018431314
0,180,RF,0.08585319530972572
0,186,RF,0.007991211738895353
0,196,RF,0.07195537870968956
0,206,RF,0.06881759813520745
0,209,RF,0.08576333348780757
0,219,RF,0.008157815966628092
0,226,RF,0.07353512360358422
0,231,RF,0.08988383545709383
0,245,RF,0.10513075966841655
0,249,RF,0.07100062435622036
0,258,RF,0.16493431260227293
0,265,RF,0.035567582629715204
0,266,RF,0.011708519597742963
0,272,RF,0.0904418911106729
0,284,RF,0.1243983925022406
0,288,RF,0.1789590232779109
0,292,RF,0.08876268346617287
0,296,RF,0.00894943043745613
0,300,RF,0.00679939180496028
0,302,RF,0.3034222914336825
0,303,RF,0.2566903469599414
0,304,RF,0.15372759633125432
0,313,RF,0.2584818696862115
0,319,RF,0.2355936961490709
0,3,XGBoost,0.13161926797601453
0,5,XGBoost,0.14102409782291717
0,7,XGBoost,0.028967451201272424
0,9,XGBoost,0.07155036645408216
0,16,XGBoost,0.05722434147190555
0,25,XGBoost,0.04410181562848358
0,33,XGBoost,0.011120983572264223
0,42,XGBoost,0.04533651042102289
0,45,XGBoost,0.02773899415540818
0,46,XGBoost,0.04315143438723169
0,55,XGBoost,0.04478891306598975
0,57,XGBoost,0.012754057721875895
0,60,XGBoost,0.07200360223942902
0,63,XGBoost,0.08402484928242188
0,75,XGBoost,0.014109799892572496
0,76,XGBoost,0.06680144932383719
0,77,XGBoost,0.1280110516797942
0,78,XGBoost,0.16575318062845226
0,82,XGBoost,0.11811305229332035
0,90,XGBoost,0.007716167715366211
0,93,XGBoost,0.006159521418242235
0,94,XGBoost,0.010832357875415255
0,101,XGBoost,0.05385131011013769
0,104,XGBoost,0.021084316041303595
0,108,XGBoost,0.0454689499272822
0,109,XGBoost,0.035140782886565136
0,116,XGBoost,0.04849155437260563
0,119,XGBoost,0.042541818175307285
0,124,XGBoost,0.07840708315517944
0,126,XGBoost,0.08247655240672397
0,132,XGBoost,0.06351539859755001
0,137,XGBoost,0.02128926671282102
0,144,XGBoost,0.02417185628769829
0,157,XGBoost,0.13633325272968355
0,164,XGBoost,0.11024687391594057
0,165,XGBoost,0.0028496131970391757
0,172,XGBoost,0.07789731604828369
0,173,XGBoost,0.10313146216644775
0,175,XGBoost,0.03445358740802746
0,177,XGBoost,0.0836430667580558
0,179,XGBoost,0.009773437851805795
0,180,XGBoost,0.07941244066859361
0,186,XGBoost,0.011922078858906495
0,196,XGBoost,0.07212075748848712
0,206,XGBoost,0.07905075352673556
0,209,XGBoost,0.07992830746189988
0,219,XGBoost,0.009349616248158056
0,226,XGBoost,0.07548625853226171
0,231,XGBoost,0.06514474604848275
0,245,XGBoost,0.08618373993457026
0,249,XGBoost,0.03485627089915319
0,258,XGBoost,0.15066077918328347
0,265,XGBoost,0.03470894515261051
0,266,XGBoost,0.013159946369561552
0,272,XGBoost,0.04776724691229859
0,284,XGBoost,0.1083727840293792
0,288,XGBoost,0.14472340907098277
0,292,XGBoost,0.06494352516888596
0,296,XGBoost,0.010525539360664596
0,300,XGBoost,0.002419462641751835
0,302,XGBoost,0.26035663894574235
0,303,XGBoost,0.14846379538513163
0,304,XGBoost,0.06757542020915225
0,313,XGBoost,0.21491093025979155
0,319,XGBoost,0.2225703404071693
0,3,LightGBM,0.2373298458146067
0,5,LightGBM,0.22529424346506077
0,7,LightGBM,0.038949155212299476
0,9,LightGBM,0.14431589081088134
0,16,LightGBM,0.08027417408371378
0,25,LightGBM,0.0549816067826989
0,33,LightGBM,0.05885244808368213
0,42,LightGBM,0.07678028078472444
0,45,LightGBM,0.11376043908220516
0,46,LightGBM,0.08794432462227157
0,55,LightGBM,0.004373345399841355
0,57,LightGBM,0.012295542221747908
0,60,LightGBM,0.025622629091368053
0,63,LightGBM,0.12133417732487843
0,75,LightGBM,0.02441547464231455
0,76,LightGBM,0.036415905357373504
0,77,LightGBM,0.028113382638500325
0,78,LightGBM,0.10564156246132356
0,82,LightGBM,0.14652896295480558
0,90,LightGBM,0.05282596171693825
0,93,LightGBM,0.010935546934137364
0,94,LightGBM,0.02573928325298084
0,101,LightGBM,0.02780987934112673
0,104,LightGBM,0.0670955396359485
0,108,LightGBM,0.023595080126714265
0,109,LightGBM,0.022287080163219314
0,116,LightGBM,0.0558042877333957
0,119,LightGBM,0.10758966957117494
0,124,LightGBM,0.04954565146162409
0,126,LightGBM,0.06587334415835613
0,132,LightGBM,0.06972057598674503
0,137,LightGBM,0.008650855770059281
0,144,LightGBM,0.09041532861791145
0,157,LightGBM,0.06356149888929885
0,164,LightGBM,0.11801575761892089
0,165,LightGBM,0.025777013206812784
0,172,LightGBM,0.12197703254851604
0,173,LightGBM,0.1557647946516915
0,175,LightGBM,0.007210752104808122
0,177,LightGBM,0.01946073233551303
0,179,LightGBM,0.005015881629781234
0,180,LightGBM,0.05812474607374636
0,186,LightGBM,0.02415041361148738
0,196,LightGBM,0.06571671784602189
0,206,LightGBM,0.0401768459984693
0,209,LightGBM,0.06743310792737603
0,219,LightGBM,0.059381644423446005
0,226,LightGBM,0.03741355425758187
0,231,LightGBM,0.03237242715590668
0,245,LightGBM,0.05238523168380169
0,249,LightGBM,0.08339954120849981
0,258,LightGBM,0.09072731590616748
0,265,LightGBM,0.061861480895307824
0,266,LightGBM,0.02903029335415077
0,272,LightGBM,0.14747653913556164
0,284,LightGBM,0.10892165579556626
0,288,LightGBM,0.1456725111792139
0,292,LightGBM,0.11101958454611627
0,296,LightGBM,0.07871000674365262
0,300,LightGBM,0.029792622126134666
0,302,LightGBM,0.24874764597195154
0,303,LightGBM,0.2471209176515402
0,304,LightGBM,0.17729611619733326
0,313,LightGBM,0.14736569620971457
0,319,LightGBM,0.1446903895048232
0,3,DT,0.1843227566375495
0,5,DT,0.14405964956293837
0,7,DT,0.043184712294723225
0,9,DT,0.11357499159022652
0,16,DT,0.08220808663749934
0,25,DT,0.032596464695955306
0,33,DT,0.004434557524903582
0,42,DT,0.029219719223554996
0,45,DT,0.047934256738029576
0,46,DT,0.010328937783061534
0,55,DT,0.012159594975703243
0,57,DT,0.01332310465195043
0,60,DT,0.050729834930452855
0,63,DT,0.09004858025690822
0,75,DT,0.051425637322562424
0,76,DT,0.06237881668768445
0,77,DT,0.055746343092718934
0,78,DT,0.19147031653094004
0,82,DT,0.017828129188213495
0,90,DT,0.04642558941609074
0,93,DT,0.03506268352088711
0,94,DT,0.05429910252124685
0,101,DT,0.018415401287257396
0,104,DT,0.006762831516004653
0,108,DT,0.033127394821936246
0,109,DT,0.046364683263521514
0,116,DT,0.019225274512814396
0,119,DT,0.011177630169025293
0,124,DT,0.10404459106059122
0,126,DT,0.06153766006192587
0,132,DT,0.11309978558544884
0,137,DT,0.06633098068462374
0,144,DT,0.03193579972756123
0,157,DT,0.19778577049671198
0,164,DT,0.10041127465870246
0,165,DT,0.0048898531731995125
0,172,DT,0.11468163430337967
0,173,DT,0.11468163430337967
0,175,DT,0.047590685235225506
0,177,DT,0.09218584817853241
0,179,DT,0.09218584817853241
0,180,DT,0.0577986751622285
0,186,DT,0.028460561314734498
0,196,DT,0.10008591604013767
0,206,DT,0.07697389999249786
0,209,DT,0.0420267399136673
0,219,DT,0.05011804363400493
0,226,DT,0.017720958917263517
0,231,DT,0.0514104370340705
0,245,DT,0.09355693228527073
0,249,DT,0.0033801489247363746
0,258,DT,0.12864968086447676
0,265,DT,0.14287765707247096
0,266,DT,0.04948888256212371
0,272,DT,0.002389185176008013
0,284,DT,0.12828321923920177
0,288,DT,0.15000819527564416
0,292,DT,0.12727025681291998
0,296,DT,0.03200955170722125
0,300,DT,0.07472409030073685
0,302,DT,0.25503854374388013
