fold,row_id,model,AE
0,3,RF,0.03808392989179943
0,5,RF,0.01608146200278817
0,7,RF,0.033115612005283665
0,9,RF,0.061942414318732444
0,16,RF,0.05326346639172506
0,25,RF,0.009454549004582945
0,33,RF,0.011699973405228725
0,42,RF,0.03173693302872337
0,45,RF,0.0028605594562349525
0,46,RF,0.02713574099313636
0,55,RF,0.013863357010694202
0,57,RF,0.05334697937393514
0,60,RF,0.009329891503542598
0,63,RF,0.003346240100575315
0,75,RF,0.008893429608196257
0,76,RF,0.0397396260523702
0,77,RF,0.0647206115998945
0,78,RF,0.1174737015077288
0,82,RF,0.0841070334864083
0,90,RF,0.08182038038194403
0,93,RF,0.00811146820241909
0,94,RF,0.005520666915619259
0,101,RF,0.04985643005889756
0,104,RF,0.05862708046241018
0,108,RF,0.041931015092567615
0,109,RF,0.1390516508151231
0,116,RF,0.014361717653802408
0,119,RF,0.013126198326294478
0,124,RF,0.012963462049770343
0,126,RF,0.1320417706223521
0,132,RF,0.04598124384348916
0,137,RF,0.08170845389509324
0,144,RF,0.07226700695647492
0,157,RF,0.05190926702923914
0,164,RF,0.04751359041076775
0,165,RF,0.013450060563418305
0,172,RF,0.1219485634353682
0,173,RF,0.133539753925402
0,175,RF,0.028768412038943616
0,177,RF,0.05834887494037297
0,179,RF,0.01359987103220604
0,180,RF,0.15530704512859841
0,186,RF,0.02412281418111627
0,196,RF,0.0008010406504444844
0,206,RF,0.04180757498206369
0,209,RF,0.045036131430986226
0,219,RF,0.14654098819205408
0,226,RF,0.11145834831582682
0,231,RF,0.017579443556323397
0,245,RF,0.06461386303513365
0,249,RF,0.011042967122840324
0,258,RF,0.03360185957868163
0,265,RF,0.02629200479613882
0,266,RF,0.01055870660249763
0,272,RF,0.033374405294232724
0,284,RF,0.05653370836908138
0,288,RF,0.05543189561065204
0,292,RF,0.008900427357297609
0,296,RF,0.017260898090219214
0,300,RF,0.0538448417278256
0,302,RF,0.08881777877794725
0,303,RF,0.047397876760526515
0,304,RF,0.0182358941129041
0,313,RF,0.05604056961937243
0,319,RF,0.08691653116191629
0,3,XGBoost,0.017690659142202633
0,5,XGBoost,0.0017161372494249605
0,7,XGBoost,0.001857323957405157
0,9,XGBoost,0.0343529677462778
0,16,XGBoost,0.02233133939487061
0,25,XGBoost,0.011133118240238993
0,33,XGBoost,0.020760232362054473
0,42,XGBoost,0.03576693555712684
0,45,XGBoost,0.006051595405432728
0,46,XGBoost,0.04832268041337997
0,55,XGBoost,0.022541690943169358
0,57,XGBoost,0.005296815357893436
0,60,XGBoost,0.01988227239469218
0,63,XGBoost,0.012313093542083067
0,75,XGBoost,0.019686448727627946
0,76,XGBoost,0.048723974321289915
0,77,XGBoost,0.04274966716464838
0,78,XGBoost,0.0957434235898448
0,82,XGBoost,0.0735692670996228
0,90,XGBoost,0.07782783793368697
0,93,XGBoost,0.010710978614695818
0,94,XGBoost,0.0008763311060009471
0,101,XGBoost,0.06405875227249525
0,104,XGBoost,0.06712954446908352
0,108,XGBoost,0.0070315367387639325
0,109,XGBoost,0.08229296821590466
0,116,XGBoost,0.007968911065161777
0,119,XGBoost,0.008247516516288585
0,124,XGBoost,0.004972808883449531
0,126,XGBoost,0.12752658037038947
0,132,XGBoost,0.013974374143871131
0,137,XGBoost,0.06338666404225016
0,144,XGBoost,0.07472773573547004
0,157,XGBoost,0.0023746412498244496
0,164,XGBoost,0.03859911652611856
0,165,XGBoost,0.02447644365384008
0,172,XGBoost,0.0883374852443518
0,173,XGBoost,0.11788390366637955
0,175,XGBoost,0.030929679602843832
0,177,XGBoost,0.03843224643009961
0,179,XGBoost,0.009371792553503937
0,180,XGBoost,0.125291894647673
0,186,XGBoost,0.03252754401227151
0,196,XGBoost,0.002872235586957963
0,206,XGBoost,0.01238810177482481
0,209,XGBoost,0.039598413505984136
0,219,XGBoost,0.11352362708654766
0,226,XGBoost,0.08199825482997887
0,231,XGBoost,0.021791666240480154
0,245,XGBoost,0.03533489882880815
0,249,XGBoost,0.009545140408150665
0,258,XGBoost,0.011726312843309862
0,265,XGBoost,0.010530061940065423
0,266,XGBoost,0.014538487068372916
0,272,XGBoost,0.03029792162991619
0,284,XGBoost,0.03654744778593706
0,288,XGBoost,0.0023729997524732037
0,292,XGBoost,0.031705519009074694
0,296,XGBoost,0.009578367149201305
0,300,XGBoost,0.02808252187030634
0,302,XGBoost,0.06523623366578839
0,303,XGBoost,0.06074341283024458
0,304,XGBoost,0.012941726387399868
0,313,XGBoost,0.04278938356922691
0,319,XGBoost,0.040353209450799316
0,3,LightGBM,0.01417277012637932
0,5,LightGBM,0.004524744432315657
0,7,LightGBM,0.012221179477047529
0,9,LightGBM,0.04521381720238246
0,16,LightGBM,0.017816028559745192
0,25,LightGBM,0.038399884903738336
0,33,LightGBM,0.028975411301992045
0,42,LightGBM,0.04203421462137254
0,45,LightGBM,0.007084075902326781
0,46,LightGBM,0.05409253471672414
0,55,LightGBM,0.01234542485638528
0,57,LightGBM,0.0012731941680825542
0,60,LightGBM,0.012077887614722442
0,63,LightGBM,0.016040365747208015
0,75,LightGBM,0.03860893984251348
0,76,LightGBM,0.0692014535545519
0,77,LightGBM,0.03139071438963853
0,78,LightGBM,0.09776727930662901
0,82,LightGBM,0.07928374302840581
0,90,LightGBM,0.06364212820473572
0,93,LightGBM,0.012338073271056444
0,94,LightGBM,0.0055870735259742335
0,101,LightGBM,0.05755068822289339
0,104,LightGBM,0.07147131072341324
0,108,LightGBM,0.022529128983324966
0,109,LightGBM,0.09279700408480135
0,116,LightGBM,0.013963706377799597
