index,PVA,Agarose,TPC_content,Doxy_content,freeze_thaw cycle,time,release_Doxy,release_TPC
23,2,0.1,150,10,3,4,66.3710668836686,34.1211155547391
23,2,0.1,150,10,3,5,74.7518743641532,39.5314288540622
23,2,0.1,150,10,3,6,74.7518743641532,40.648538077809
24,2,0.1,200,10,3,1,29.8835493565498,11.6364573116985
24,2,0.1,200,10,3,2,46.2275117184542,14.3368260313598
24,2,0.1,200,10,3,3,57.96027795,13.9104520229922
24,2,0.1,200,10,3,4,59.381253194725,13.8838036474692
24,2,0.1,200,10,3,5,62.772698636474,14.4434195334517
24,2,0.1,200,10,3,6,63.7666285303867,14.4434195334517
25,2,0.15,100,10,3,1,20.0988071802835,6.98142240271032
25,2,0.15,100,10,3,2,21.8670562493169,14.9906653258196
25,2,0.15,100,10,3,3,34.1248032781892,24.4155855694786
25,2,0.15,100,10,3,4,37.2316816972099,25.7439951099943
25,2,0.15,100,10,3,5,39.2789856866104,28.4395998710408
25,2,0.15,100,10,3,6,39.2789856866104,29.0795635912892
26,2,0.15,150,10,3,1,29.0361617463048,11.9202873282656
26,2,0.15,150,10,3,2,42.4813537403446,17.9843869865402
26,2,0.15,150,10,3,3,35.0585204427907,22.1426267522142
26,2,0.15,150,10,3,4,53.3796016471353,25.4969401631913
26,2,0.15,150,10,3,5,57.8115216406899,29.1076783597183
26,2,0.15,150,10,3,6,57.8115216406899,32.0115157960806
27,2,0.15,200,10,3,1,31.7074601103882,23.585254288788
27,2,0.15,200,10,3,2,51.4573723615914,22.479695494001
27,2,0.15,200,10,3,3,57.6762185051533,26.9940605727144
27,2,0.15,200,10,3,4,74.2897911007808,27.0861904722799
27,2,0.15,200,10,3,5,76.2007961804738,27.5468399701078
27,2,0.15,200,10,3,6,84.4042008278408,27.5468399701078
28,1,0.1,100,10,5,1,24.6642160739773,29.4555632893904
28,1,0.1,100,10,5,2,29.7642788497505,31.6599175355572
28,1,0.1,100,10,5,3,37.7709936081618,36.1730969228276
28,1,0.1,100,10,5,4,47.3231357567121,42.2870227223176
28,1,0.1,100,10,5,5,47.3231357567121,48.370655401695
28,1,0.1,100,10,5,6,47.3231357567121,48.0026591372538
29,1,0.1,150,10,5,1,30.1844894925474,15.237736953205
29,1,0.1,150,10,5,2,34.6148772088491,20.2246326833448
29,1,0.1,150,10,5,3,44.3220841832673,22.2740527096788
29,1,0.1,150,10,5,4,45.3797058036189,27.6634188141367
29,1,0.1,150,10,5,5,45.3797058036189,28.9447739670199
29,1,0.1,150,10,5,6,45.3797058036189,32.795765669739
30,1,0.1,200,10,5,1,31.0832869468516,24.4791403809242
30,1,0.1,200,10,5,2,52.7513050909004,30.9239597052795
30,1,0.1,200,10,5,3,64.4595979059933,34.0778074597513
30,1,0.1,200,10,5,4,78.4256164902587,39.1463099701584
30,1,0.1,200,10,5,5,78.4256164902587,43.2752604120031
30,1,0.1,200,10,5,6,78.4256164902587,44.174183201925
31,1,0.15,100,10,5,1,17.0933228124131,4.76783621577469
31,1,0.15,100,10,5,2,25.5519582025827,14.4536071948578
31,1,0.15,100,10,5,3,34.1204570353643,21.4994096026137
31,1,0.15,100,10,5,4,42.0260813316563,22.0317704819063
31,1,0.15,100,10,5,5,45.4263760920327,23.5919599417593
31,1,0.15,100,10,5,6,45.4263760920327,26.9117866401506
32,1,0.15,150,10,5,1,25.7192464601094,17.7202283849918
32,1,0.15,150,10,5,2,30.0136631430726,21.6063417618271
32,1,0.15,150,10,5,3,40.6464682932561,32.3450244698206
32,1,0.15,150,10,5,4,49.1560243528455,34.1619086460033
32,1,0.15,150,10,5,5,52.1923559570988,35.8683727569331
32,1,0.15,150,10,5,6,52.1923559570988,36.9769575856444
33,1,0.15,200,10,5,1,25.7944184699301,10.6728897333426
33,1,0.15,200,10,5,2,38.5523559069016,16.6506442024121
33,1,0.15,200,10,5,3,38.7153171191497,21.8232508494926
33,1,0.15,200,10,5,4,43.4900901565542,21.7858021135861
33,1,0.15,200,10,5,5,54.3066039470909,27.1269280722456
33,1,0.15,200,10,5,6,54.3066039470909,29.2240572830077
34,1,0.2,100,10,5,1,35.1803039423768,26.2230007648102
34,1,0.2,100,10,5,2,38.9249388494871,29.4462446088181
34,1,0.2,100,10,5,3,43.3151955526665,37.9322990229858
34,1,0.2,100,10,5,4,54.38570294,37.4861438016401
34,1,0.2,100,10,5,5,54.8233357899849,43.3043720963323
34,1,0.2,100,10,5,6,54.8233357899849,50.4246452206662
35,1,0.2,150,10,5,1,24.7272401487672,10.8449760995058
35,1,0.2,150,10,5,2,32.2067188791047,11.3379295585742
35,1,0.2,150,10,5,3,32.5999791212034,21.9487527650224
35,1,0.2,150,10,5,4,35.6102227324784,24.1916910037839
35,1,0.2,150,10,5,5,40.0953383517104,25.0173880477235
35,1,0.2,150,10,5,6,40.0953383517104,27.556098361926
36,1,0.2,200,10,5,1,24.4897540186206,13.1551658166636
36,1,0.2,200,10,5,2,32.7993143748466,22.9224259161591
36,1,0.2,200,10,5,3,36.8008669759189,22.1925845249606
36,1,0.2,200,10,5,4,42.2851626197896,21.8231586355886
36,1,0.2,200,10,5,5,47.1493342969582,27.5132183706729
36,1,0.2,200,10,5,6,47.1493342969582,29.0269634783438
37,1.5,0.1,100,10,5,1,31.1977267269698,13.6428737540196
37,1.5,0.1,100,10,5,2,42.1053997076838,41.632769584847
37,1.5,0.1,100,10,5,3,53.6085331034598,55.8554462273759
37,1.5,0.1,100,10,5,4,57.0345824439076,64.2095251842407
37,1.5,0.1,100,10,5,5,57.0345824439076,63.5053768614526
37,1.5,0.1,100,10,5,6,57.0345824439076,49.6204521214746
38,1.5,0.1,150,10,5,1,45.5498776944017,29.9094036616896
38,1.5,0.1,150,10,5,2,61.4674407156789,30.4882953454642
38,1.5,0.1,150,10,5,3,69.3623346941047,45.4590775008583
38,1.5,0.1,150,10,5,4,86.6680796572542,41.2249703967881
38,1.5,0.1,150,10,5,5,87.0061530138707,59.4007188850975
38,1.5,0.1,150,10,5,6,87.0061530138707,66.556463309534
39,1.5,0.1,200,10,5,1,46.1902828528894,24.7458892732509
39,1.5,0.1,200,10,5,2,73.8266612532145,32.6171880952744
39,1.5,0.1,200,10,5,3,90.3751008255514,37.4742270005029
39,1.5,0.1,200,10,5,4,90.3751008255514,42.910425016382
39,1.5,0.1,200,10,5,5,90.3751008255514,45.5429664284299
39,1.5,0.1,200,10,5,6,90.3751008255514,52.571851998598
40,1.5,0.15,100,10,5,1,31.504411359853,15.1784274149069
40,1.5,0.15,100,10,5,2,38.4365519536523,26.4863558390126
40,1.5,0.15,100,10,5,3,56.3145927766561,26.8058921321719
40,1.5,0.15,100,10,5,4,60.3292121260213,27.6584677338304
40,1.5,0.15,100,10,5,5,64.1299615197186,34.1261643045157
40,1.5,0.15,100,10,5,6,74.3334315505907,38.6628276096379
41,1.5,0.15,150,10,5,1,27.3619428861712,13.380726572586
41,1.5,0.15,150,10,5,2,42.1246123091269,21.2401428120628
41,1.5,0.15,150,10,5,3,43.2056874008073,29.2615362679446
41,1.5,0.15,150,10,5,4,59.8779982240493,33.6912610122375
41,1.5,0.15,150,10,5,5,62.6909919945357,35.5997751707484
41,1.5,0.15,150,10,5,6,64.0199393,46.5438010095898
42,1.5,0.15,200,10,5,1,21.0660759370997,11.0196442987499
42,1.5,0.15,200,10,5,2,24.3248798988777,18.5026420725591
42,1.5,0.15,200,10,5,3,32.2732173203752,20.4946546957947
42,1.5,0.15,200,10,5,4,32.3695174108171,23.8617682315238
42,1.5,0.15,200,10,5,5,32.3695174108171,26.3152873253908
42,1.5,0.15,200,10,5,6,32.3695174108171,28.6510751767497
43,1.5,0.2,100,10,5,1,41.9644772126933,18.4683123764666
43,1.5,0.2,100,10,5,2,57.2674654053944,22.1881092560663
43,1.5,0.2,100,10,5,3,70.2205985689466,28.9656314395054
43,1.5,0.2,100,10,5,4,80.941646189224,29.7583750367972
43,1.5,0.2,100,10,5,5,90.5841259423035,37.4941587114681
43,1.5,0.2,100,10,5,6,90.4014559051922,37.9242756213466
44,1.5,0.2,150,10,5,1,48.2588650887385,16.0475216117846
44,1.5,0.2,150,10,5,2,61.7404767100115,25.4414938783755
44,1.5,0.2,150,10,5,3,63.757745710273,29.8298738268289
44,1.5,0.2,150,10,5,4,81.4363908080168,24.7290544573688
44,1.5,0.2,150,10,5,5,81.4363908080168,36.991300779077
44,1.5,0.2,150,10,5,6,81.4363908080168,36.4987348668792
45,1.5,0.2,200,10,5,1,37.2562899551355,9.96567662145428
45,1.5,0.2,200,10,5,2,45.9665610191673,22.0067739704958
45,1.5,0.2,200,10,5,3,49.0938449931708,24.5404900184828
45,1.5,0.2,200,10,5,4,53.5925925877982,26.7153276035683
45,1.5,0.2,200,10,5,5,53.5925925877982,26.587343204865
45,1.5,0.2,200,10,5,6,53.5925925877982,26.587343204865
46,2,0.2,100,10,5,1,26.6162124244355,12.0739300983802
46,2,0.2,100,10,5,2,30.3444097243074,16.7937391368379
46,2,0.2,100,10,5,3,43.3645771692572,25.596731808566
46,2,0.2,100,10,5,4,45.6622210659027,25.9040682110702
46,2,0.2,100,10,5,5,46.3850967732035,28.4286172316406
46,2,0.2,100,10,5,6,46.8344115578405,28.1674994132166
47,2,0.2,150,10,5,1,24.6439266548864,11.8963832267515
47,2,0.2,150,10,5,2,35.5898069117582,12.6350048226981
47,2,0.2,150,10,5,3,39.3381722596736,25.1196707364868
47,2,0.2,150,10,5,4,42.967744902163,26.70012786181274
47,2,0.2,150,10,5,5,46.9264472366406,27.5708485991416
47,2,0.2,150,10,5,6,46.9264472366406,27.6231403935449
48,2,0.2,200,10,5,1,15.8349697316763,2.82855380243775
48,2,0.2,200,10,5,2,30.9904138639263,16.6480595229193
48,2,0.2,200,10,5,3,33.114179574357,19.9008963957227
48,2,0.2,200,10,5,4,43.2384682341945,27.0530967247439
48,2,0.2,200,10,5,5,43.3844892664801,29.4876733904135
48,2,0.2,200,10,5,6,45.6469958053447,34.1333348342036
49,2,0.1,100,10,5,1,45.4942220106139,7.64902586093432
49,2,0.1,100,10,5,2,47.0413248705098,10.313847773776
49,2,0.1,100,10,5,3,48.2233301489732,24.8346597710658
49,2,0.1,100,10,5,4,58.2233301489732,25.7476080189837
49,2,0.1,100,10,5,5,61.4870282981386,25.1938203525105
49,2,0.1,100,10,5,6,72.0341585787636,25.4158888452473
50,2,0.1,150,10,5,1,33.5089521291484,13.1343375725398
50,2,0.1,150,10,5,2,45.4000551624724,18.2164979215541
50,2,0.1,150,10,5,3,64.9178211249687,28.3275713050994
50,2,0.1,150,10,5,4,76.0500352639967,28.2329094126847
50,2,0.1,150,10,5,5,83.081965134393,28.2985245091987
50,2,0.1,150,10,5,6,83.081965134393,28.2447421492365
51,2,0.1,200,10,5,1,31.5520697077787,8.06065669511048
51,2,0.1,200,10,5,2,24.6374844123365,9.37051340806593
51,2,0.1,200,10,5,3,32.4378315888242,10.1201544807112
51,2,0.1,200,10,5,4,38.7857272424927,14.0295729778398
51,2,0.1,200,10,5,5,45.8275715044754,20.9335254372019
51,2,0.1,200,10,5,6,45.8275715044754,20.4136130803673
52,2,0.15,100,10,5,1,2.36633783763249,11.5783703599249
52,2,0.15,100,10,5,2,4.46314444989801,19.0265459198169
52,2,0.15,100,10,5,3,3.0739096397068,20.5904899758962
52,2,0.15,100,10,5,4,12.1446286065762,23.7442998127415
52,2,0.15,100,10,5,5,14.0719416627221,24.9366991483158
52,2,0.15,100,10,5,6,36.4185314314587,24.7183780880551
53,2,0.15,150,10,5,1,4.06984657708765,16.2682836525979
53,2,0.15,150,10,5,2,9.46301235121811,22.3194256463514
53,2,0.15,150,10,5,3,18.5521357699959,35.7737359103919
53,2,0.15,150,10,5,4,19.0702789795997,31.0526360260737
53,2,0.15,150,10,5,5,20.7151526248239,34.3667492161131
53,2,0.15,150,10,5,6,20.3151526248239,34.1174701155129
54,2,0.15,200,10,5,1,27.0500908895351,18.9869538526024
54,2,0.15,200,10,5,2,56.5116650831974,23.6671492531854
54,2,0.15,200,10,5,3,61.6794313762136,27.4113055736519
54,2,0.15,200,10,5,4,79.9016224536761,32.3532370203339
54,2,0.15,200,10,5,5,84.9049453350348,33.4889052881531
54,2,0.15,200,10,5,6,99.7990880541095,35.4097816942692
